question,answer,tags
Ese gukora imyitozo ngororamubiri ni byiza ku bagore batwite?,"Yego, gukora imyitozo yoroheje cyangwa ifite imbaraga ziciriritse birasanzwe kandi
birasabwa ku bagore batwite, kuko bifasha mu kugumana ibiro bikwiye, kwitegura
kubyara neza, no kunoza ubuzima bw’umubyeyi n’umwana. Ariko, imyitozo ikomeye
ishobora guteza ibyago byo kugwa no gukomereka. Imikino ihurirwamo nabantu benshi
igomba kwirindwa. Ni ingenzi kumva umubiri wawe, guhindura imyitozo uko inda ikura,
kandi ugakomeza gukurikiza inama ugirwa na muganga.",
Ese abagore batwite bashobora gufata imiti iyo ari yo yose?,"Oya, umugore utwite ntiyemerewe gufata imiti iyo ari yo yose. Hari imiti itemewe
ishobora guteza akaga ku buzima bw’ umwana uri mu nda, mu gihe hari n’indi miti
idafite icyo itwaye ku mugore utwite. Ni ingenzi cyane ko umugore utwite agisha inama
muganga mbere yo gufata imiti iyo ari yo yose.",
Ni ibihe bimenyetso byo kubyara?,"Ibimenyetso byo kubyara ni:
1.Kubabara mu nda cyangwa mu mugongo kenshi kandi ku buryo buhoraho (contractions).
2. Gutakaza amazi aturutse muri nyababyeyi (waters breaking).
3. Kuzana igitonyanga cy’amaraso gike mu gitsina (bloody show).
4. Kumva ushaka kujya mu bwiherero kenshi.",
Ni mu gihe kingana iki umugore akwiye kugira isuzumwa nyuma yo kubyara?,"Umugore akwiye kugira isuzumwa mu masaha 48 akurikira kubyara, hanyuma hagati y’icyumweru kimwe kugeza kuri
bibiri, no ku cyumweru cya 6 nyuma yo kubyara.",
"Ni ibihe bimenyetso mpuruza nyuma yo kubyara?,ibimenyetso bya nyuma yo kubyara?","Ni:
1. Kuva cyane
2. Umuriro mwinshi
3. Kuribwa umutwe cyane
4. Kureba ibicyezicyezi
5. Guhumeka nabi no kuribwa mu gatuza
6. Kuzana ibintu bidasanzwe mu gitsina kandi bihumura nabi.",
Umugore akwiye gutegereza igihe kingana iki mbere yo kongera gutwita?,Umugore agomba gutegereza nibura imyaka 2 kugira ngo ubuzima bw’umugore n’umwana bube bwiza.,
Ni ibihe biribwa bifasha umugore kongera imbaraga no gukira nyuma yo kubyara?,"Umugore agomba kurya:

1. Indyo yuzuye irimo Protein: nk’inyama, amafi, na amagi.
2. Imbuto n’imboga: zitanga vitamine ni imyunyu ngugu by’ingirakamaro ko buzima.
3. Ibinyampeke byose: nk’umuceri, ibigori, amasaka, nibindi.
4. Amata n’ibikomoka ku mata: bifasha kongera calcium mu mubiri.
5. Amazi menshi: gufata amazi bihoraho bifasha umubiri gusubira mu buryo.",
Ni gute umugore wabyaye abazwe (C- Section) yakwita kugisebe?,"1. Kugira isuku y’ahakomeretse kandi ukirinda gukoraho n’intoki zanduye.
2. Gukaraba intoki neza mbere yo gukora aho babaze.
3. Gukaraba umubiri wose uko bikwiye, ariko ukirinda gushyira amazi aho babaze.
4. Kwambara imyenda yoroheje kandi itwikiriye neza kugira ngo itabangamira igikomere.
5. Ni byiza kwihutira kujya kwa muganga mu gihe ugize kimwe muri ibi bimenyetso:
kuribwa munda cyane/ aho bakubaze, umuriro mwinshi, gutukura kuruhu ruzengurutse
aho babaze no kuzana amashyira mu gisebe.",
"Umugore ashobora kongera gukora imibonano mpuzabitsina mu gihe kingana iki nyuma yo
kubyara?","Umugore asabwa gutegereza nibura ibyumweru 6 nyuma yo kubyara mbere yo kongera
gukora imibonano mpuzabitsina, kugira ngo umubiri we ukire neza kandi bigabanye
ibyago byo kugira uburibwe cyangwa ibindi bibazo by’ubuzima.",
Ni ukubera iki konsa umwana ari ingenzi?,"Konsa umwana n'ingenzi kubera:

1. Bitanga intungamubiri zose umwana akeneye mu mezi ya mbere y’ubuzima.
2. Bikingira umwana indwara zitandukanye kuko mu mashereka habamo abasikari barinda
umubiri (antibodies).
3. Bituma umwana agira ubuzima bwiza.
4. Bihuza umubyeyi n’umwana binyuze mu rukundo n’urukumbuzi.
5. Bigabanya ibyago byo kurwara kanseri zimwe na zimwe ku mubyeyi no gutakaza
amaraso menshi nyuma yo kubyara.",
Ni ryari umwana agomba gutangira konka nyuma yo kuvuka?,Umwana agomba konka mwi isaha yambere nyuma yo kuvuka.,
Ni ibihe byiza byo konsa umwana amezi atandatu nta kindi kintu umuvangiye?,"Ibyiza byo konsa umwana ni:

1.Umwana abona intungamubiri zose akeneye mu mezi 6 ya mbere.
2. Konka gusa bimurinda indwara zikunda kw’ibasira impinjya n’izindi ndwara zikomeye
kuko abona ubwirinzi (antibodies).
3. Bifasha umwana gukura neza, kugira ubuzima bwiza no kugira imbaraga.
4. Bihuza umwana n’umubyeyi, bigatuma bagirana urukundo n’ibihe byiza.",
Ni ryari umwana atangira guhabwa imfashabere?,"Umwana atangira guhabwa imfashabere kuva ku mezi 6, ariko agakomeza konka kugeza
nibura ku myaka 2 cyangwa kurenza, kuko amata y’umubyeyi akomeza kumufasha
gukura no kugira ubuzima bwiza.",
Ni izihe nkingo umwana ahabwa?,"1. Akivuka umwana ahabwa inkingo za:
o BCG (ikingira igituntu)
o Polio 0
2. Ku cyumweru 6:
o Polio 1
o Pentavalent 1 (Diphtheria, Tetanus, Pertussis, Hepatitis B, Hib)
o PCV 1 (Pneumococcal vaccine)
o Rotavirus 1
3. Ku byumweru 10:
o Polio 2
o Pentavalent 2
o PCV 2
o Rotavirus 2
4. Ku byumweru 14:
o Polio 3
o Pentavalent 3
o PCV 3
5. Ku mezi 9:
o Inkingo ya Rubella/Measles 1 (Iseru na Rubeyole)
o Inkingo ya Fievre Jaune (yellow fever) mu bihugu ibonekamo.
6. Ku mezi 15:
o Measles/Rubella 2 (Iseru na Rubeyole)
Izi nkingo zifasha umwana kugira ubwirinzi bukomeye kandi zika murinda kwandura indwara
zimwe nazimwe.",
"Ni izihe ndwara zikunze kugaragara ku bana b’impinja?,Indwara kubana bakivuka?","Indwara zikunze kugaragara ni:

1. Impiswi (diarrhea)
2. Indwara z’ubuhumekero (imyanda mu bihaha, umusonga)
3. Ibicurane ni inkorora
4. Indwara z’uruhu
5. Umwana kudakura neza cyangwa kutiyongera ibiro uko bikwiye (Malnutrition)",
Ni ukubera iki ari ingenzi gukurikirana imikurire y’umwana?,"Kugenzura uko umwana akura ni ingenzi kuko bifasha kumenya niba umwana akura
neza, afite ubuzima bwiza, kandi abona intungamubiri zihagije. Bifasha kandi gutahura
hakiri kare ibibazo by’uburwayi cyangwa imirire mibi, bityo akavurwa cyangwa
hagafatwa ingamba zikwiye ku gihe. Ibi bigira uruhare mu gukumira indwara, gukomeza
ubuzima bwiza, no gufasha umwana kugera ku ntego z’iterambere rye ry’umubiri
n’ubwenge.",
Kwita ku mwana mu buryo bwa Kangaroo bisobanura iki (KMC)?,"Ni uburyo bwo kwita ku mwana wavutse akiri muto cyangwa ufite ibiro bike aho umubyeyi
(akenshi ni nyina) ashyira umwana ku mugongo we cyangwa ku gituza cye, agapfundikira neza,
kugira ngo umwana akomeze agire ubushyuhe bw’umubiri bukwiye, ahabwe ibere rya nyina,
kandi agire umutekano n’urukundo.
Ibyiza bya KMC ni:
1. Bituma umwana agumana ubushyuhe bukwiye bw’umubiri.
2. Bituma umwana arya neza kubera ko yonka ibere rya nyina kenshi.
3. Bigabanya ibyago byo kurwara no gupfa akiri muto.
4. Bituma habaho guhuzwa k’umwana n’umubyeyi (bonding).",
Ni ubuhe buryo bwo kuboneza urubyaro (Family planning)?,"Uburyo bwo kuboneza urubyaro ni:

1. Imiti yo kwirinda gusama (Contraceptive Pills): imiti umugore anywa buri munsi
cyangwa buri gihembwe.
2. Injections: urushinge ruterwa buri mezi abiri cyangwa atatu.
3. Implants: Agapira gashyirwa mu kuboko, karinda gusama imyaka myinshi.
4. Agapira gashyirwa mu mura (IUD – Intrauterine Device): gashyirwa mu mura
k’umugore, karinda gusama igihe kirekire.
5. Agakingirizo (Condom): zikoreshwa n’umugabo cyangwa umugore, zikumira gusama
ndetse n’indwara zandurira mu mibonano.
6. Kumenya iminsi ashobora gusama (Fertility Awareness Methods) : kwirinda
imibonano mu minsi umugore ashobora gusama.
7. Kwifunga burundu (Sterilization): Kubaga umugore cyangwa umugabo kugira ngo
intanga ngabo ni ntanga ngore zitazongera guhura.",
Ese kuboneza urubyaro birizewe ku mugore wonsa?,"Yego, hari uburyo bwinshi bwo kuboneza urubyaro kandi bukaba butagira ingaruka ku
mukobwa uri konsa cyangwa ku mwana.",
Kubera iki gushyira intera hagati yo kubyara ari ingenzi?,"Gushyira intera hagati y’ababa bavuka (birth spacing) Ni ingenzi kuko:
1. Bifasha umubyeyi kugarura imbaraga: Bituma umubiri w’umugore wiyubaka neza
mbere yo gutwita ubutaha.
2. Biteza imbere ubuzima bw’umwana: Abana bavuka bafite intera ihagije hagati yabo
bagira amahirwe menshi yo gukura neza no kurindwa indwara.
3. Bigabanya ibyago byo gupfa: ku babyeyi no ku bana, cyane cyane mu gihe cy’ibyorezo
n’indwara z’abana bato.
4. Bifasha umuryango guteganya neza umutungo n’ubuzima bw’abana: umuryango
ushobora guha buri mwana ibyo akeneye mu buryo buhagije.",
Ni iyihe myizerere itariyo ku bijyanye no kuboneza urubyaro (Family Planning)?,"Imyizerere itariyo ni:

1. Kuboneza urubyaro ntibuhungabanya urukundo cyangwa ubushake mu mibonano.
2. Ntibigira ingaruka mbi ku buzima igihe bikoreshejwe neza.
3. Ntibigabanya amahirwe yo kubyara mu gihe wifuza kongera kubyara.
4. Si iby’abagore gusa; n’abagabo bagira uruhare.
5. Buri gihe hari uburyo bwemewe n’amadini kandi butekanye ku buzima.",
Ni izihe ngaruka zo gukoresha uburyo bwo kuboneza urubyaro?,"Ni:

1. Impinduka ku mezi y’imihango: Ashobora kuzana imihango idasanzwe, kubura
imihango, cyangwa kuvamo amaraso atari menshi.
2. Kuribwa umutwe : Bamwe bashobora kugira uburibwe bw’umutwe
3. Kongera ibiro cyangwa kugabanya ibiro: Impinduka ku mubiri zishobora kugaragara
ku gipimo gito.
4. Kubabara mu nda cyangwa mu gatuza: Hari igihe bamwe bashobora kubabara mu nda
cyangwa mu gatuza.
5. Kumva umunaniro cyangwa ihindagurika ry’amarangamutima: bamwe bashobora
kumva umunaniro cyangwa guhindagurika kw’amarangamutima.
Izi ngaruka akenshi ziba by’igihe gito kandi zikagenda zishira mu gihe umubiri umaze
kumenyera uburyo bwo kuboneza urubyaro. Niba bikomeje cyangwa bikomeye, ni byiza kugisha
inama y’umuganga.",
Ni ryari umugore yatangira kuboneza urubyaro nyuma yo kubyara?,Akimara kubyara,
Ni ryari umuntu ashobora gusama nyuma yo guhagarika uburyo bwo kuboneza urubyaro?,"1. Abenshi bashobora gusubira gusama ako kanya cyangwa mu mezi make nyuma yo
guhagarika imiti cyangwa uburyo bwo kuboneza urubyaro.
2. Impinduka zishingiye ku buryo bwo kuboneza urubyaro:
o Contraceptive pills, injections, implants, IUDs, condoms: ubushobozi bwo
gusama bushobora kugaruka ako kanya cyangwa mu gihe cy’ukwezi kumwe
cyangwa abiri.
o Kwifunga burundu (sterilization): ntibishoboka kongera gusama.
Ibi byose bikunze gutandukana bitewe n’umubiri w’umuntu, imyaka, n’uburyo bwo kuboneza
urubyaro bwakoreshejwe.",
Ese abagabo bashobora gukoresha uburyo bwo kuboneza urubyaro?,"Yego, abagabo nabo bashobora gukoresha uburyo bwo kuboneza urubyaro.
Uburyo abagabo bashobora gukoresha:

1. Condom (agakingirizo): Dukumira gusama no kurinda indwara zandurira mu mibonano
mpuzabitsina.
2. Kwifungisha burundu (Male sterilization / vasectomy)
Ibi bifasha abagabo kugira uruhare mu guteganya umuryango no kurinda ubuzima
bw’umuryango.",
"Imihango ni iki?,Ase imihango isobanura iki?,nikihe gisobanuro k'imihango?","Urakoze kubw'ikibazo kiza ubajije, Imihango ni ugusohoka hanze kw’amaraso aturutse muri nyababyeyi agasohokera mu gitsina
cy’umukobwa/umugore. Imihango bivuga ko nta sama ryabayeho, bityo aho urusoro rwari
kuzakurira hagatangira komoka no kuva amaraso. Imihango imara hagati y'iminsi 3-7 muri
rusange. Iyo minsi ishobora kugabanuka cyangwa ikarenga ku bagore cyangwa abakobwa
bamwe na bamwe.",
imihango niki?,"Urakoze kubw'ikibazo kiza ubajije, Imihango ni ugusohoka hanze kw’amaraso aturutse muri nyababyeyi agasohokera mu gitsina cy’umukobwa/umugore. Imihango bivuga ko nta sama ryabayeho, bityo aho urusoro rwari kuzakurira hagatangira komoka no kuva amaraso. Imihango imara hagati y'iminsi 3-7 muri rusange. Iyo minsi ishobora kugabanuka cyangwa ikarenga ku bagore cyangwa abakobwa bamwe na bamwe.",
"Kuki abakobwa n’abagore bajya mu mihango?,ase kuberiki abakobwa bajya mumihango?,kuberiki abagore bajya mumihango?,kuki abagore bajya mumihango?,kuberiki jya mumihango?,Abakobwa bajya mumihango kuberiki?","Urakoze kubw'ikibazo kiza ubajije, Impamvu abakobwa n’abagore bajya mu mihango ni uko umubiri uba witegura gutwita. Iyo nta
sama ryabayeho aho urusoro rwari kuzakurira hatangira komoka no kuva amaraso umugore
cyangwa umukobwa bakajya mu mihango.",
"ase kuki abagore bajya mumihango?,kuki umukobwa ajya mumihango?","Urakoze kubw'ikibazo kiza ubajije, Impamvu abakobwa n’abagore bajya mu mihango ni uko umubiri uba witegura gutwita. Iyo nta sama ryabayeho aho urusoro rwari kuzakurira hatangira komoka no kuva amaraso umugore cyangwa umukobwa bakajya mu mihango.",
ase kuki abagore n'abakobwa bajya mumihango?,"Urakoze kubw'ikibazo kiza ubajije, Impamvu abakobwa n’abagore bajya mu mihango ni uko umubiri uba witegura gutwita. Iyo nta sama ryabayeho aho urusoro rwari kuzakurira hatangira komoka no kuva amaraso umugore cyangwa umukobwa bakajya mu mihango.",
kuki umugore ajya mumihango?,"Urakoze kubw'ikibazo kiza ubajije, Impamvu abakobwa n’abagore bajya mu mihango ni uko umubiri uba witegura gutwita. Iyo nta sama ryabayeho aho urusoro rwari kuzakurira hatangira komoka no kuva amaraso umugore cyangwa umukobwa bakajya mu mihango.",
kujya mumihango kwabakobwa bisobanuye iki?,"Urakoze kubw'ikibazo kiza ubajije, Impamvu abakobwa n’abagore bajya mu mihango ni uko umubiri uba witegura gutwita. Iyo nta sama ryabayeho aho urusoro rwari kuzakurira hatangira komoka no kuva amaraso umugore cyangwa umukobwa bakajya mu mihango.",
"Ni iyihe myaka umukobwa atangira kujya mu mihango bwa mbere?, ase imihango itangira kumyaka ingahe?,imihango itangira kumyaka ingahe?,Bwambere imihango iba ryari?","Urakoze kubw'ikibazo kiza ubajije, Kujya mu mihango bwa mbere Inshuro nyinshi biba hagati y’imyaka 9 na 16. Ariko iyi myaka
ishobora guhinduka bitewe ni mpamvu nyinshi zitandukanye harimo uruhererekane
rw’amasano(genetics), imirire (nutrition), ni ibindi. Ni byiza kujya Kureba umuganga igihe cyose
urengeje imyaka 16 utarajya mu mihango.",
ase imihango itangira ryari?,"Urakoze kubw'ikibazo kiza ubajije, Kujya mu mihango bwa mbere Inshuro nyinshi biba hagati y’imyaka 9 na 16. Ariko iyi myaka ishobora guhinduka bitewe ni mpamvu nyinshi zitandukanye harimo uruhererekane rw’amasano(genetics), imirire (nutrition), ni ibindi. Ni byiza kujya Kureba umuganga igihe cyose urengeje imyaka 16 utarajya mu mihango.",
"Imihango imara iminsi ingahe?,imihango imara igihe kingana gute?","Urakoze kubw'ikibazo kiza ubajije, Mubisanzwe imihango imara hagati yi iminsi 3 - 7 muri rusange. Ariko iyo minsi ishobora
kugabanuka cyangwa ikarenga kubagore bamwe nabamwe.",
"Umunsi wuburumbuke (Ovulation) ni iki?,uburumbuke niki?","Nibyiza kukibazo kiza ubajije,      
Umunsi w’uburumbuke (Ovulation) ni umunsi wirekurwa ry’intanga ngore ivuye mu dusabo

tw’intanga (Ovaries) ikajya mu miyobora ntanga (Fallopian tube) aho iba itegereje intanga
ngabo.",
"Ese imihango ishobora kutagenda neza mu ntangiriro?,imihango ishobora kutagenda neza?","Nibyiza kukibazo kiza ubajije., Yego rwose, ku bakobwa bagitangira kujya mu mihango bwa mbere nko mu myaka 2 yambere imihango ishobora kutagenda neza.",
"Ni iki gituma imihango ihagarara cyangwa se umukobwa cyangwa umugore abura imihango (missed period)?,kuberiki umukobwa abura imihango,kuberiki imihango ihagarara?","Kubura imihango ku mugore cyangwa umukobwa biterwa nibintu byinshi harimo, gutwita,
stress, konsa, indwara, no guhindagurika.",
"Ese stress ishobora guhungabanya imihango?,stress  ishobora gutuma imihango igenda nabi?,","Nibyiza kukibazo kiza ubajije.,  Yego. Stress zishobora guhungabanya imihango kuko zitera guhindagurika kw’imisemburo. Ibi
bishobora gutuma imihango iza uko bitari bisanzwe.",
"Ni iyihe myitwarire myiza yo kubungabunga isuku mu gihe cy’imihango?,igihe kimihango wakwita kw'isuku gute?,","Ni ngombwa gukoresha ibikoresho by’isuku bibereye imihango kandi bisukuye,
kubihindura kenshi, gukaraba intoki mbere yo kubihindura no nyuma yo kubihindura, no
kubungabunga umwanda wo mu gitsina usukuye kandi ukomeye.",
